,,,,,,,,,Inspection information,,,,,,
Children's home,18/04/2006,Active,West Midlands,West Midlands,Telford and Wrekin,Telford,Private,Educare Adolescent Services Limited,Full inspection,12/12/2018,15/01/2019,10049881,Good,Good,Good
Residential special school (registered as a children's home),13/04/2006,Active,South East,South East,Hampshire,New Forest East,Private,Cambian Autism Services Limited,Full inspection,22/01/2019,13/02/2019,10049879,Outstanding,Good,Good
Children's home,25/05/2006,Active,West Midlands,West Midlands,Staffordshire,Stoke-on-Trent North,Private,Oracle Care Limited,Full inspection,16/07/2018,28/08/2018,10049884,Good,Good,Good
Children's home,25/05/2006,Active,West Midlands,West Midlands,Staffordshire,Stoke-on-Trent North,Private,Oracle Care Limited,Interim inspection,11/12/2018,29/01/2019,10051538,Declined effectiveness,,
Children's home,30/05/2006,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Oracle Care Limited,Full inspection,12/07/2018,06/08/2018,10049885,Good,Good,Good
Children's home,30/05/2006,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Oracle Care Limited,Interim inspection,22/01/2019,15/02/2019,10051539,Declined effectiveness,,
Adoption Support Agency,22/03/2006,Active,West Midlands,West Midlands,Herefordshire,North Herefordshire,Private,,Full inspection,15/02/2019,12/03/2019,10046715,Outstanding,Outstanding,Outstanding
Children's home,19/06/2006,Active,North West,North West,Bolton,Bolton South East,Local Authority,Bolton Metropolitan Borough Council,Full inspection,18/09/2018,03/10/2018,10049888,Good,Good,Good
Children's home,19/06/2006,Active,North West,North West,Bolton,Bolton South East,Local Authority,Bolton Metropolitan Borough Council,Interim inspection,14/02/2019,05/03/2019,10051540,Not judged,,
Children's home,08/05/2006,Active,South West,South West,Bristol,Bristol North West,Local Authority,Bristol City Council,Full inspection,04/07/2018,26/07/2018,10049882,Good,Requires improvement to be good,Good
Children's home,08/05/2006,Active,South West,South West,Bristol,Bristol North West,Local Authority,Bristol City Council,Interim inspection,27/02/2019,19/03/2019,10051537,Sustained effectiveness,,
Adoption Support Agency,24/02/2006,Active,London,London,Islington,Islington South and Finsbury,Voluntary,The Children's Society (Services) Limited,Full inspection,17/04/2018,10/05/2018,10046714,Good,Good,Good
Residential Family Centre,09/05/2006,Active,London,London,Waltham Forest,Walthamstow,Private,Care 2 Share Limited,Full inspection,27/11/2018,10/01/2019,10045739,Good,Good,Good
Independent Fostering Agency,28/07/2006,Active,South East,South East,Buckinghamshire,Chesham and Amersham,Private,Isp,Full inspection,01/10/2018,27/11/2018,10045677,Good,Good,Good
Independent Fostering Agency,17/05/2006,Active,London,London,Enfield,;Enfield, Southgate;,Private,Integrated Services Programme,Full inspection,25/02/2019,01/04/2019,10068005,Outstanding,Outstanding,Outstanding
Children's home,22/06/2006,Active,South West,South West,South Gloucestershire,Thornbury and Yate,Private,Keys Education Ltd,Full inspection,05/06/2018,28/06/2018,10049890,Good,Good,Good
Children's home,22/06/2006,Active,South West,South West,South Gloucestershire,Thornbury and Yate,Private,Keys Education Ltd,Interim inspection,14/01/2019,05/02/2019,10051541,Sustained effectiveness,,
Adoption Support Agency,24/07/2006,Active,South West,South West,Devon,Tiverton and Honiton,Private,,Full inspection,18/04/2018,17/05/2018,10046718,Outstanding,Outstanding,Outstanding
Children's home,21/08/2006,Active,South East,South East,Buckinghamshire,Aylesbury,Private,Benjamin Uk Ltd,Interim inspection,22/10/2018,20/11/2018,10029589,Sustained effectiveness,,
Children's home,21/08/2006,Active,South East,South East,Buckinghamshire,Aylesbury,Private,Benjamin Uk Ltd,Full inspection,10/04/2018,25/05/2018,10049900,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,28/07/2006,Active,North West,North West,Wirral,Birkenhead,Private,Good Foundations Limited,Full inspection,03/10/2018,04/12/2018,10049894,Good,Good,Good
Adoption Support Agency,24/10/2006,Active,;North East, Yorkshire and the Humber;,North East,Newcastle upon Tyne,Newcastle upon Tyne Central,Voluntary,St Cuthbert's Care,Full inspection,15/05/2018,11/06/2018,10046724,Good,Good,Good
Children's home,17/08/2006,Active,London,London,Barking and Dagenham,Barking,Private,,Full inspection,10/07/2018,10/08/2018,10049897,Good,Good,Good
Children's home,17/08/2006,Active,London,London,Barking and Dagenham,Barking,Private,,Interim inspection,05/03/2019,22/03/2019,10051543,Sustained effectiveness,,
Children's home,28/06/2006,Active,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,Future In Mind,Full inspection,01/08/2018,05/09/2018,10049891,Outstanding,Outstanding,Outstanding
Children's home,25/10/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Barnsley,Barnsley Central,Private,Keswick Care Ltd,Full inspection,01/05/2018,05/06/2018,10049914,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,21/08/2006,Active,South East,South East,Kent,Dover,Private,Channels and Choices Kent LLP,Full inspection,26/02/2019,04/04/2019,10049901,Inadequate,Inadequate,Inadequate
Children's home,28/07/2006,Active,North West,North West,Oldham,Oldham West and Royton,Private,Cambian Childcare Limited,Full inspection,11/07/2018,03/08/2018,10049895,Good,Good,Good
Children's home,12/07/2006,Active,;North East, Yorkshire and the Humber;,North East,Darlington,Darlington,Local Authority,Darlington Borough Council,Full inspection,04/09/2018,01/10/2018,10049892,Good,Good,Good
Children's home,31/07/2006,Active,West Midlands,West Midlands,Shropshire,North Shropshire,Private,Branas Isaf (holdings) Limited,Full inspection,31/07/2018,28/08/2018,10049896,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,31/07/2006,Active,West Midlands,West Midlands,Shropshire,North Shropshire,Private,Branas Isaf (holdings) Limited,Interim inspection,14/03/2019,04/04/2019,10051542,Improved effectiveness,,
Children's home,23/08/2006,Active,South East,South East,Hampshire,New Forest East,Private,New Forest Care Ltd,Full inspection,25/09/2018,22/10/2018,10049904,Good,Good,Requires improvement to be good
Children's home,21/08/2006,Resigned,South East,South East,Brighton and Hove,Hove,Private,Lioncare Ltd Operating As The Lioncare Group,Full inspection,21/06/2018,31/07/2018,10049902,Good,Good,Good
Children's home,15/09/2006,Active,East of England,East of England,Norfolk,Broadland,Local Authority,Norfolk County Council Children's Services,Full inspection,04/09/2018,19/09/2018,10049908,Good,Good,Good
Children's home,17/08/2006,Resigned,South West,South West,Somerset,Bridgwater and West Somerset,Private,Crossways Care Ltd,Full inspection,21/11/2018,14/12/2018,10049898,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,25/08/2006,Active,South East,South East,East Sussex,Lewes,Local Authority,East Sussex County Council,Full inspection,14/08/2018,30/08/2018,10049906,Good,Good,Outstanding
Children's home,21/08/2006,Active,South West,South West,Devon,Newton Abbot,Private,One To One Crisis Intervention Ltd,Full inspection,06/02/2019,28/02/2019,10049903,Outstanding,Outstanding,Outstanding
Children's home,11/10/2006,Active,North West,North West,St Helens,St Helens North,Private,Crossway Services Limited,Full inspection,01/05/2018,24/05/2018,10049911,Good,Good,Good
Children's home,24/08/2006,Active,;North East, Yorkshire and the Humber;,North East,North Tyneside,North Tyneside,Local Authority,North Tyneside Council,Full inspection,03/07/2018,25/07/2018,10049905,Good,Good,Good
Children's home,25/10/2006,Active,West Midlands,West Midlands,Staffordshire,Stone,Private,Mangrove Care Limited,Full inspection,13/11/2018,29/11/2018,10049915,Good,Good,Good
Children's home,31/10/2006,Active,South East,South East,West Sussex,Horsham,Private,Bramley Care Limited,Full inspection,19/12/2018,29/01/2019,10049916,Outstanding,Good,Outstanding
Children's home,16/10/2006,Resigned,North West,North West,Oldham,Oldham East and Saddleworth,Private,Cambian Childcare Limited,Full inspection,09/07/2018,02/08/2018,10049913,Inadequate,Inadequate,Inadequate
Residential special school (registered as a children's home),17/11/2006,Active,West Midlands,West Midlands,Warwickshire,North Warwickshire,Private,Young Foundations Limited,Full inspection,15/01/2019,15/02/2019,10049919,Outstanding,Outstanding,Good
Independent Fostering Agency,28/11/2006,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds West,Voluntary,Barnardo's,Full inspection,25/06/2018,31/07/2018,10045665,Good,Good,Requires improvement to be good
Children's home,05/10/2006,Active,South East,South East,Kent,Tunbridge Wells,Local Authority,Kent County Council,Full inspection,22/01/2019,15/02/2019,10049909,Outstanding,Outstanding,Outstanding
Children's home,20/12/2006,Active,South East,South East,East Sussex,Wealden,Private,PJL Healthcare Limited,Full inspection,04/12/2018,11/01/2019,10049923,Outstanding,Outstanding,Outstanding
Children's home,13/02/2007,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Barnsley,Barnsley Central,Private,The Partnership of Care Today Children's Services,Full inspection,08/08/2018,04/09/2018,10049930,Good,Good,Requires improvement to be good
Children's home,29/12/2006,Active,London,London,Hillingdon,Hayes and Harlington,Local Authority,London Borough of Hillingdon,Full inspection,22/05/2018,19/06/2018,10049924,Good,Good,Good
Children's home,09/11/2006,Active,South East,South East,Surrey,Woking,Local Authority,Surrey County Council,Full inspection,25/10/2018,19/11/2018,10049918,Good,Good,Good
Children's home,01/02/2007,Active,East of England,East of England,Essex,Harlow,Local Authority,Essex County Council,Full inspection,25/04/2018,15/05/2018,10049927,Good,Good,Good
Children's home,01/02/2007,Active,East of England,East of England,Essex,Harlow,Local Authority,Essex County Council,Interim inspection,29/11/2018,13/12/2018,10051548,Sustained effectiveness,,
Children's home,21/11/2006,Active,East of England,East of England,Norfolk,Norwich South,Local Authority,Norfolk County Council Children's Services,Full inspection,05/12/2018,28/12/2018,10049921,Good,Good,Good
Children's home,15/01/2007,Active,East of England,East of England,Cambridgeshire,North East Cambridgeshire,Private,M.J. Childrens Services Limited,Full inspection,08/08/2018,24/08/2018,10049925,Good,Good,Good
Children's home,19/02/2007,Active,South East,South East,Oxfordshire,Oxford East,Voluntary,Barnardo's,Full inspection,14/03/2019,28/03/2019,10049931,Good,Good,Requires improvement to be good
Children's home,02/03/2007,Active,North West,North West,Tameside,Ashton-under-Lyne,Private,Oakfields Children's Care Limited,Full inspection,20/06/2018,17/07/2018,10049932,Good,Good,Good
Children's home,12/02/2007,Active,East of England,East of England,Suffolk,South Suffolk,Private,Inroads Essex Limited,Full inspection,16/01/2019,01/02/2019,10049929,Good,Good,Good
Children's home,06/03/2007,Active,North West,North West,Bury,Bury North,Private,Meadows Care Ltd,Full inspection,28/08/2018,21/09/2018,10049933,Outstanding,Outstanding,Outstanding
Residential Special School,04/01/2007,Active,East Midlands,East Midlands,Rutland,Rutland and Melton,Private,Wilds Lodge School,Full inspection,30/10/2018,29/11/2018,10046872,Outstanding,Good,Good
Children's home,09/02/2007,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Calderdale,Calder Valley,Private,Time-Out Children's Homes Ltd,Full inspection,18/12/2018,29/01/2019,10049928,Outstanding,Outstanding,Outstanding
Residential special school (registered as a children's home),16/03/2007,Active,South East,South East,West Berkshire,Newbury,Voluntary,Prior's Court Foundation,Full inspection,09/10/2018,15/11/2018,10049936,Good,Good,Good
Children's home,12/03/2007,Active,South East,South East,East Sussex,Wealden,Private,Anderida Adolescent Care,Full inspection,04/06/2018,05/07/2018,10049934,Good,Good,Good
Children's home,12/03/2007,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North East Lincolnshire,Great Grimsby,Local Authority,North East Lincolnshire Council,Full inspection,16/10/2018,13/11/2018,10049935,Requires improvement to be good,Requires improvement to be good,Inadequate
Children's home,14/06/2007,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Wakefield,Wakefield,Private,Dove Adolescent Services Limited,Full inspection,23/10/2018,22/11/2018,10049947,Good,Good,Good
Children's home,02/07/2007,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Barnsley,Barnsley Central,Private,Dove Adolescent Services Limited,Full inspection,29/05/2018,14/06/2018,10049948,Good,Good,Good
Children's home,19/10/2007,Active,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,Private,The Partnership of Care Today Children's Services,Full inspection,15/01/2019,19/02/2019,10049976,Outstanding,Outstanding,Outstanding
Children's home,03/07/2007,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Oracle Care Limited,Interim inspection,07/01/2019,29/01/2019,10085978,Not judged,,
Children's home,03/07/2007,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Oracle Care Limited,Full inspection,07/11/2018,20/12/2018,10049950,Inadequate,Inadequate,Inadequate
Children's home,12/03/2008,Active,West Midlands,West Midlands,Wolverhampton,Wolverhampton South East,Private,Eagle Children's Home,Full inspection,24/07/2018,29/08/2018,10050011,Good,Good,Good
Children's home,04/09/2007,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Barnsley,Barnsley East,Private,Pebbles Care,Full inspection,15/05/2018,01/06/2018,10049962,Outstanding,Outstanding,Good
